epoch,iou,loss,val_iou,val_loss
0,0.06178689740884762,0.08158547944651964,0.01269373893737793,0.026179424487054348
1,0.09990077609053025,0.021497221724786915,0.05904104709625244,0.01043786508962512
2,0.10859030967530532,0.01979488766907404,0.19005548655986787,0.014995039254426957
3,0.07901694737852384,0.02209785027214541,0.24657936692237853,0.008555875928141176
4,0.10924322291826591,0.019998017029884536,0.1341739773750305,0.009523079078644515
5,0.08727743307080789,0.01665995521351504,0.1815964885056019,0.0054157247301191095
6,0.20697141835131708,0.013418222045472179,0.048536472767591474,0.011420556530356406
7,0.09527998422988905,0.014550316457947096,0.04883480966091156,0.01987159587442875
8,0.1253121393517806,0.01852868636771559,0.07452427744865417,0.01623319014906883
9,0.0799193152327998,0.014861383499243321,0.10795548930764198,0.01370263141579926
10,0.055690618264727675,0.0172766315129896,0.10068815350532531,0.014719298714771867
11,0.15761874291302563,0.011570812614921194,0.04333166033029556,0.011335271969437599
12,0.10001400165641919,0.015045640454329073,0.19539351761341095,0.00842381187248975
13,0.20537410005449486,0.009999536979310691,0.004551709815859795,0.017786896228790282
14,0.14411930915995094,0.012784082066411009,0.1281604666262865,0.012128787534311413
15,0.17743016846286944,0.01014798283815766,0.20443949699401856,0.009174288180656732
16,0.21236267030382386,0.009507655455635335,0.1244049958884716,0.009446071181446313
17,0.1481993105262518,0.012800787881506273,0.19205444753170015,0.007667986210435629
18,0.15272668324028835,0.012764753108151639,0.13447056859731674,0.01088355714455247
19,0.14582743424659547,0.011994379363619747,0.2292357176542282,0.007816263911081478
20,0.11257621793983838,0.012361159136232275,0.17036479711532593,0.013292597117833793
21,0.14684982650364056,0.01409779457697788,0.12340457141399383,0.023974724858999253
22,0.16805735260295945,0.011439719703048468,0.14125016927719117,0.01384546523913741
23,0.24424840977940804,0.008049100101626933,0.0955971509218216,0.016164926718920468
24,0.16250471197641814,0.013342179026669608,0.2888022199273109,0.006239926227135584
25,0.1978081405395642,0.01021426799110113,0.26599995493888856,0.014123668987303972
26,0.12461402002148904,0.0113424640477229,0.09086306691169739,0.01668875040486455
27,0.12514667604596186,0.010929041440622548,0.15436395183205603,0.0077644489938393235
28,0.16081172545464376,0.019738124764094558,0.2904891327023506,0.0059063447290100156
29,0.14248323722336537,0.014385412995649789,0.3097506880760193,0.005405336641706527
30,0.12132709970076878,0.009574526022427166,0.1781461626291275,0.010949464980512857
31,0.1323394142330075,0.01322174997916684,0.1963691830635071,0.010162931494414806
32,0.17861396314289707,0.012802249649002288,0.08896979987621308,0.02547725192271173
33,0.13112357593117616,0.012498662266760873,0.11455626711249352,0.01623590672388673
34,0.1453720068033689,0.015061805859052887,0.05002404451370239,0.011254773056134582
35,0.20557937971674478,0.011678455619869802,0.049231729656457904,0.018472286500036718
36,0.14153740082222682,0.01597213636462887,0.2542603075504303,0.006928143370896578
37,0.15380879717234236,0.00861505938631196,0.025396969774737953,0.018418078497052192
38,0.297183309466793,0.004562582533346871,0.18802606537938119,0.006381342466920614
39,0.21448981795364466,0.009498522458717419,0.15199771700426937,0.005299043352715671
40,0.17263940867465302,0.008826343129233768,0.31744100004434583,0.005456230719573796
41,0.14713795797135204,0.010364547124108633,0.10016920492053032,0.01304593738168478
42,0.19788962390082768,0.010758327920950998,0.2634937785565853,0.007292168028652668
43,0.14702349113157162,0.007894778474926567,0.25887431502342223,0.006603462854400277
44,0.15700522972605166,0.008647890955520173,0.12467273324728012,0.007698903325945139
45,0.2479450088710739,0.009496822697819414,0.12456750944256782,0.004368010303005576
46,0.22528705936975968,0.006356864887773274,0.27428959757089616,0.00716764812823385
47,0.17920305112448448,0.008405145363679204,0.25952494516968727,0.004462128761224449
48,0.21454085065768316,0.007017432820971291,0.01660151779651642,0.010612181294709444
49,0.2777104830512634,0.0067778563206024375,0.1321547120809555,0.00948172037024051
50,0.19063868536016879,0.00869846822341713,0.10493280054070056,0.01225263550877571
51,0.18123885061448583,0.008843210757148858,0.3020323507487774,0.006403358746320009
52,0.19551493713441184,0.008527296099764032,0.23745986819267273,0.011390077485702931
53,0.15843424511452517,0.01080671663975152,0.15613846182823182,0.010256045404821635
54,0.2147299444828278,0.007807663200088801,0.3053976376540959,0.003903445811010897
55,0.28336568544499385,0.007298149475947213,0.17313671670854092,0.007381332060322166
56,0.24453154956110013,0.005413918732068477,0.09224451705813408,0.006607843469828368
57,0.18783110456588942,0.010141957715416376,0.16346336975693704,0.008984058490023017
58,0.24859329358411905,0.006537635738286787,0.2982589781284332,0.003991129505448043
59,0.14727544594699374,0.0094087825049288,0.3527018532156944,0.0034827304072678087
60,0.23340164583462936,0.01364336490111712,0.058219689130783084,0.009418419469147921
61,0.1696773134649564,0.012569114441971462,0.20076218247413635,0.008312583481892944
62,0.18556153984406057,0.0067119800039038705,0.14131468310952186,0.005629133200272918
63,0.1846566130526555,0.008598551645170515,0.2605209589004517,0.008512352174147964
64,0.1781131077844363,0.009833515344115976,0.1880296915769577,0.011253110249526799
65,0.17724045301572636,0.009788026300390275,0.0952879834920168,0.014519490022212266
66,0.23327022128236982,0.01182350118865426,0.17636321038007735,0.009960707696154713
67,0.19388743022528404,0.011903767069527067,0.1874343417584896,0.007624872541055083
68,0.1898033305948887,0.012514458570736818,0.050281169824302197,0.015442084521055222
69,0.2204489354044199,0.006673503058174482,0.028918801248073576,0.018743214011192322
70,0.25801302540378696,0.005475440319293203,0.17635081857442855,0.003586930246092379
